Timestamp,Temperature,External_Temp,Humidity,CO2,Ammonia,Pressure,Power_OK,Sensor_ID
2025-04-21 16:07:14,24.9,24.5,59.5,816,11.1,26.3,true,ARRAY001
2025-04-21 16:08:14,24.8,25.5,59.3,807,11.6,25.1,true,ARRAY001
2025-04-21 16:09:14,25.4,25.8,58.1,802,12.1,25.5,true,ARRAY001
2025-04-21 16:10:14,25.8,25.2,56.9,751,12.4,26.8,true,ARRAY001
2025-04-21 16:11:15,24.7,24.2,56.2,756,11.7,26.1,true,ARRAY001
2025-04-21 16:15:15,25.3,25.5,59.4,767,12.2,27.9,true,ARRAY001
2025-04-21 16:17:15,24.8,25.6,59.2,845,12.8,26.3,true,ARRAY001
2025-04-21 16:18:15,25.5,25.4,57.3,878,13.6,26.3,true,ARRAY001
2025-04-21 16:20:15,25.3,25.8,56.6,890,15.1,28.3,true,ARRAY001
2025-04-21 16:21:15,25.1,25.2,56.0,910,14.3,29.1,true,ARRAY001
2025-04-21 16:23:15,24.0,23.7,61.0,892,13.1,27.2,true,ARRAY001
2025-04-21 16:25:15,21.4,20.9,60.9,909,12.8,26.1,true,ARRAY001
2025-04-21 16:27:15,20.6,20.2,57.9,880,12.4,27.7,true,ARRAY001
2025-04-21 16:28:15,20.8,20.6,57.5,837,13.6,25.6,true,ARRAY001
2025-04-21 16:31:15,19.8,19.9,57.0,742,12.2,27.1,true,ARRAY001
2025-04-21 16:32:15,19.8,19.8,54.9,697,12.9,27.3,true,ARRAY001
2025-04-21 16:36:15,19.4,19.6,52.2,614,11.3,29.0,true,ARRAY001
2025-04-21 16:37:15,20.3,20.4,51.3,625,12.4,30.3,true,ARRAY001
2025-04-21 16:38:15,20.8,20.2,53.0,632,11.7,28.6,true,ARRAY001
2025-04-21 16:39:15,20.8,21.4,54.4,631,12.3,29.6,true,ARRAY001
2025-04-21 16:40:15,21.3,21.7,53.0,626,12.8,27.9,true,ARRAY001
2025-04-21 16:42:15,21.1,20.7,53.6,648,12.5,26.7,true,ARRAY001
2025-04-21 16:43:15,20.0,20.3,51.9,671,13.3,25.5,true,ARRAY001
2025-04-21 16:44:15,20.4,20.3,51.2,709,12.7,27.0,true,ARRAY001
2025-04-21 16:45:15,20.4,20.9,50.6,724,13.8,26.2,true,ARRAY001
2025-04-21 16:46:15,20.9,20.9,50.5,713,14.7,26.3,true,ARRAY001
2025-04-21 16:47:15,20.9,20.2,51.9,719,14.5,27.0,true,ARRAY001
2025-04-21 16:48:15,20.6,20.8,51.3,734,14.2,25.0,true,ARRAY001
2025-04-21 16:49:15,20.6,21.0,50.0,697,14.6,26.9,true,ARRAY001
